Time_hours,Kp
0.50,1.0
1.50,1.0
2.50,1.0
3.50,1.7
4.50,1.7
5.50,1.7
6.50,1.7
7.50,1.7
8.50,1.7
9.50,1.7
10.50,1.7
11.50,1.7
12.50,1.7
13.50,1.7
14.50,1.7
15.50,2.0
16.50,2.0
17.50,2.0
18.50,0.7
19.50,0.7
20.50,0.7
21.50,1.0
22.50,1.0
23.50,1.0
24.50,0.7
25.50,0.7
26.50,0.7
27.50,1.3
28.50,1.3
29.50,1.3
30.50,0.7
31.50,0.7
32.50,0.7
33.50,1.3
34.50,1.3
35.50,1.3
36.50,1.0
37.50,1.0
38.50,1.0
39.50,1.0
40.50,1.0
41.50,1.0
42.50,2.3
43.50,2.3
44.50,2.3
45.50,2.0
46.50,2.0
47.50,2.0
48.50,2.7
49.50,2.7
50.50,2.7
51.50,2.7
52.50,2.7
53.50,2.7
54.50,2.3
55.50,2.3
56.50,2.3
57.50,2.0
58.50,2.0
59.50,2.0
60.50,3.7
61.50,3.7
62.50,3.7
63.50,7.7
64.50,7.7
65.50,7.7
66.50,8.7
67.50,8.7
68.50,8.7
69.50,8.7
70.50,8.7
71.50,8.7
72.50,9.0
73.50,9.0
74.50,9.0
75.50,8.3
76.50,8.3
77.50,8.3
78.50,8.3
79.50,8.3
80.50,8.3
81.50,9.0
82.50,9.0
83.50,9.0
84.50,8.7
85.50,8.7
86.50,8.7
87.50,8.3
88.50,8.3
89.50,8.3
90.50,7.7
91.50,7.7
92.50,7.7
93.50,7.7
94.50,7.7
95.50,7.7
96.50,6.3
97.50,6.3
98.50,6.3
99.50,7.0
100.50,7.0
101.50,7.0
102.50,3.7
103.50,3.7
104.50,3.7
105.50,4.3
106.50,4.3
107.50,4.3
108.50,2.0
109.50,2.0
110.50,2.0
111.50,3.0
112.50,3.0
113.50,3.0
114.50,4.0
115.50,4.0
116.50,4.0
117.50,6.3
118.50,6.3
119.50,6.3
120.50,5.3
121.50,5.3
122.50,5.3
123.50,6.0
124.50,6.0
125.50,6.0
126.50,3.3
127.50,3.3
128.50,3.3
129.50,2.7
130.50,2.7
131.50,2.7
132.50,3.3
133.50,3.3
134.50,3.3
135.50,2.7
136.50,2.7
137.50,2.7
138.50,2.3
139.50,2.3
140.50,2.3
141.50,2.3
142.50,2.3
143.50,2.3
144.50,1.3
145.50,1.3
146.50,1.3
147.50,1.3
148.50,1.3
149.50,1.3
150.50,1.3
151.50,1.3
152.50,1.3
153.50,2.3
154.50,2.3
155.50,2.3
156.50,2.3
157.50,2.3
158.50,2.3
159.50,1.7
160.50,1.7
161.50,1.7
162.50,2.0
163.50,2.0
164.50,2.0
165.50,0.7
166.50,0.7
167.50,0.7
