Time_hours,AE_nT,AL_nT,AU_nT
0.50,30.0,-14.0,16.0
1.50,24.0,-11.0,13.0
2.50,29.0,-14.0,15.0
3.50,44.0,-19.0,26.0
4.50,61.0,-20.0,41.0
5.50,167.0,-68.0,99.0
6.50,283.0,-181.0,101.0
7.50,336.0,-136.0,201.0
8.50,143.0,-20.0,123.0
9.50,75.0,-28.0,48.0
10.50,73.0,-31.0,42.0
11.50,210.0,-160.0,50.0
12.50,74.0,-54.0,20.0
13.50,48.0,-24.0,24.0
14.50,46.0,-27.0,19.0
15.50,44.0,-23.0,21.0
16.50,39.0,-21.0,18.0
17.50,33.0,-17.0,16.0
18.50,25.0,-12.0,13.0
19.50,23.0,-9.0,13.0
20.50,24.0,-11.0,12.0
21.50,30.0,-16.0,15.0
22.50,28.0,-15.0,13.0
23.50,35.0,-19.0,15.0
24.50,105.0,-81.0,25.0
25.50,199.0,-133.0,66.0
26.50,343.0,-245.0,98.0
27.50,373.0,-252.0,121.0
28.50,639.0,-482.0,157.0
29.50,495.0,-347.0,148.0
30.50,239.0,-96.0,144.0
31.50,359.0,-255.0,104.0
32.50,466.0,-364.0,102.0
33.50,450.0,-313.0,137.0
34.50,270.0,-161.0,110.0
35.50,179.0,-104.0,75.0
36.50,109.0,-76.0,33.0
37.50,97.0,-55.0,42.0
38.50,180.0,-131.0,49.0
39.50,178.0,-134.0,45.0
40.50,119.0,-101.0,18.0
41.50,117.0,-95.0,22.0
42.50,52.0,-33.0,19.0
43.50,72.0,-45.0,27.0
44.50,60.0,-27.0,33.0
45.50,74.0,-38.0,36.0
46.50,67.0,-41.0,26.0
47.50,65.0,-36.0,29.0
48.50,165.0,-108.0,56.0
49.50,133.0,-87.0,46.0
50.50,41.0,-17.0,24.0
51.50,42.0,-21.0,21.0
52.50,51.0,-21.0,30.0
53.50,111.0,-31.0,80.0
54.50,781.0,-601.0,180.0
55.50,1060.0,-704.0,356.0
56.50,973.0,-634.0,339.0
57.50,566.0,-421.0,145.0
58.50,588.0,-391.0,197.0
59.50,521.0,-399.0,122.0
60.50,986.0,-785.0,201.0
61.50,668.0,-484.0,184.0
62.50,795.0,-597.0,198.0
63.50,857.0,-582.0,275.0
64.50,1822.0,-1480.0,342.0
65.50,1452.0,-1249.0,203.0
66.50,974.0,-822.0,152.0
67.50,1019.0,-966.0,54.0
68.50,836.0,-762.0,74.0
69.50,742.0,-661.0,82.0
70.50,728.0,-549.0,179.0
71.50,496.0,-305.0,191.0
72.50,142.0,-67.0,75.0
73.50,88.0,-21.0,67.0
74.50,56.0,-34.0,22.0
75.50,46.0,-24.0,22.0
76.50,70.0,-37.0,33.0
77.50,38.0,-26.0,11.0
78.50,60.0,-30.0,31.0
79.50,32.0,-20.0,12.0
80.50,50.0,-31.0,18.0
81.50,38.0,-28.0,10.0
82.50,44.0,-33.0,11.0
83.50,37.0,-33.0,4.0
84.50,33.0,-35.0,-1.0
85.50,33.0,-34.0,-1.0
86.50,34.0,-31.0,3.0
87.50,33.0,-34.0,-1.0
88.50,27.0,-32.0,-6.0
89.50,25.0,-29.0,-5.0
90.50,28.0,-32.0,-4.0
91.50,34.0,-31.0,2.0
92.50,28.0,-31.0,-3.0
93.50,66.0,-50.0,17.0
94.50,37.0,-34.0,2.0
95.50,34.0,-32.0,2.0
96.50,61.0,-39.0,22.0
97.50,58.0,-40.0,19.0
98.50,43.0,-36.0,7.0
99.50,44.0,-33.0,10.0
100.50,35.0,-31.0,4.0
101.50,32.0,-29.0,3.0
102.50,30.0,-25.0,5.0
103.50,29.0,-26.0,3.0
104.50,27.0,-26.0,1.0
105.50,26.0,-27.0,0.0
106.50,29.0,-30.0,-1.0
107.50,31.0,-32.0,-1.0
108.50,29.0,-30.0,-1.0
109.50,22.0,-23.0,-1.0
110.50,23.0,-23.0,0.0
111.50,22.0,-25.0,-3.0
112.50,26.0,-25.0,1.0
113.50,29.0,-23.0,7.0
114.50,25.0,-18.0,7.0
115.50,75.0,-46.0,29.0
116.50,77.0,-57.0,20.0
117.50,141.0,-118.0,22.0
118.50,224.0,-180.0,44.0
119.50,240.0,-202.0,38.0
120.50,182.0,-151.0,31.0
121.50,89.0,-46.0,43.0
122.50,62.0,-22.0,40.0
123.50,210.0,-133.0,77.0
124.50,220.0,-139.0,81.0
125.50,295.0,-196.0,99.0
126.50,292.0,-235.0,57.0
127.50,156.0,-78.0,77.0
128.50,72.0,-45.0,27.0
129.50,127.0,-109.0,19.0
130.50,67.0,-48.0,20.0
131.50,51.0,-35.0,16.0
132.50,101.0,-52.0,49.0
133.50,316.0,-238.0,78.0
134.50,427.0,-300.0,127.0
135.50,212.0,-124.0,87.0
136.50,201.0,-142.0,59.0
137.50,212.0,-127.0,86.0
138.50,85.0,-32.0,53.0
139.50,67.0,-18.0,48.0
140.50,265.0,-176.0,89.0
141.50,517.0,-381.0,136.0
142.50,505.0,-294.0,211.0
143.50,465.0,-285.0,181.0
